symbolicName,state,fragment,version
be.kpngroup.cq-components-mms-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-mms-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-omsepc-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-omsepc-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-openidconnect-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-openidconnect-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-postnl-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-postnl-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-voicemail-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-voicemail-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-dependencies-oracle-jdbc-driver (Base),Active,False,1.13.0.SNAPSHOT
be.kpngroup.cq-dependencies-oracle-jdbc-driver (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-bscs-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-bscs-stub (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-dob-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-dob-stub (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-ei-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-ei-stub (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-in-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-in-stub (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-ldap-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-ldap-stub (Other),Active,False,1.32.0.SNAPSHOT
